"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL1802594";"";"0";"410.88";"0";"4.44";"39";"CS(=O)(=O)Nc1ccc2C=Cc3ncc(cc3C(=O)c2c1)c4ccc(Cl)cc4";"IC50";"'='";"46";"nM";"7.34";"";"";"UO_0000065";"17.86";"0.36";"2.9";"9.64";"False";"CHEMBL1803461";"Inhibition of human recombinant c-Met-catalyzed phosphorylation of N-biotinylated peptide (EQEDEPEGDYFEWLE-CONH2) by time-resolved fluorescence resonance energy transfer assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1800066";"1";"Scientific Literature";"J. Med. Chem.";"2011";""
"CHEMBL1802591";"";"0";"461.55";"0";"2.84";"36";"CS(=O)(=O)Nc1ccc2C=Cc3ncc(cc3C(=O)c2c1)N4CCN(CC4)c5cccnc5";"IC50";"'='";"16";"nM";"7.8";"";"";"UO_0000065";"16.89";"0.32";"4.96";"8.16";"False";"CHEMBL1803461";"Inhibition of human recombinant c-Met-catalyzed phosphorylation of N-biotinylated peptide (EQEDEPEGDYFEWLE-CONH2) by time-resolved fluorescence resonance energy transfer assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1800066";"1";"Scientific Literature";"J. Med. Chem.";"2011";""
"CHEMBL1808090";"";"0";"316.31";"0";"2.15";"10j";"CCOC(=O)\C=C\C1=C(Oc2cccc(OC)c2)N=CNC1=O";"IC50";"'>'";"40000";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1810157";"Inhibition of recombinant MET using biotinylated-poly(GT) peptide as substrate after 60 mins";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1806450";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";""
"CHEMBL1800104";"";"0";"451.51";"0";"2.14";"75";"Cn1cc(cn1)c2cnc3C=Cc4ccc(NS(=O)(=O)N5CCOCC5)cc4C(=O)c3c2";"IC50";"'='";"1000";"nM";"6";"";"";"UO_0000065";"13.29";"0.26";"3.86";"5.64";"False";"CHEMBL1803464";"Inhibition of c-MET overexpressed in human GTL-16 cells assessed as phosphorylation at C-terminal Y1349 after 2 hrs by Western blot analysis";"B";"BAO_0000219";"cell-based format";"";"";"";"GTL-16";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1800066";"1";"Scientific Literature";"J. Med. Chem.";"2011";""
"CHEMBL1802910";"";"0";"485.57";"0";"3.94";"74";"CN(Cc1ccccc1)S(=O)(=O)Nc2ccc3C=Cc4ncc(cc4C(=O)c3c2)c5cnn(C)c5";"IC50";"'='";"1200";"nM";"5.92";"";"";"UO_0000065";"12.19";"0.23";"1.98";"6.09";"False";"CHEMBL1803464";"Inhibition of c-MET overexpressed in human GTL-16 cells assessed as phosphorylation at C-terminal Y1349 after 2 hrs by Western blot analysis";"B";"BAO_0000219";"cell-based format";"";"";"";"GTL-16";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1800066";"1";"Scientific Literature";"J. Med. Chem.";"2011";""
"CHEMBL1800104";"";"0";"451.51";"0";"2.14";"75";"Cn1cc(cn1)c2cnc3C=Cc4ccc(NS(=O)(=O)N5CCOCC5)cc4C(=O)c3c2";"IC50";"'='";"58";"nM";"7.24";"";"";"UO_0000065";"16.03";"0.31";"5.1";"6.8";"False";"CHEMBL1803461";"Inhibition of human recombinant c-Met-catalyzed phosphorylation of N-biotinylated peptide (EQEDEPEGDYFEWLE-CONH2) by time-resolved fluorescence resonance energy transfer assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1800066";"1";"Scientific Literature";"J. Med. Chem.";"2011";""
"CHEMBL1802908";"";"0";"437.53";"0";"3.15";"72";"CCN(CC)S(=O)(=O)Nc1ccc2C=Cc3ncc(cc3C(=O)c2c1)c4cnn(C)c4";"IC50";"'='";"4";"nM";"8.4";"";"";"UO_0000065";"19.19";"0.37";"5.25";"8.64";"False";"CHEMBL1803461";"Inhibition of human recombinant c-Met-catalyzed phosphorylation of N-biotinylated peptide (EQEDEPEGDYFEWLE-CONH2) by time-resolved fluorescence resonance energy transfer assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1800066";"1";"Scientific Literature";"J. Med. Chem.";"2011";""
"CHEMBL1807769";"";"0";"316.31";"0";"2.18";"9g";"COc1cccc(OC)c1OC2=C(\C=C\C(=O)C)C(=O)NC=N2";"IC50";"'>'";"40000";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1810157";"Inhibition of recombinant MET using biotinylated-poly(GT) peptide as substrate after 60 mins";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1806450";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";""
"CHEMBL1808092";"";"0";"355.18";"0";"3.45";"10k";"CCOC(=O)\C=C\C1=C(Oc2c(Cl)cccc2Cl)N=CNC1=O";"IC50";"'>'";"40000";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1810157";"Inhibition of recombinant MET using biotinylated-poly(GT) peptide as substrate after 60 mins";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1806450";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";""
"CHEMBL1766522";"";"0";"353.47";"0";"4.81";"14a";"CN1CCN(CC1)c2cnc3cccc(c4ccc5ccccc5c4)c3c2";"IC50";"'='";"5800";"nM";"5.24";"";"";"UO_0000065";"14.81";"0.26";"0.43";"27.03";"False";"CHEMBL1768668";"Inhibition of purified recombinant c-Met after 60 mins by ELISA";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1765011";"1";"Scientific Literature";"J. Med. Chem.";"2011";""
"CHEMBL1766528";"";"0";"445.45";"0";"4.53";"21a";"CN1CCN(CC1)c2cnc3cc(cc(NCc4cccc(c4)[N+](=O)[O-])c3c2)C(F)(F)F";"IC50";"'='";"0.93";"nM";"9.03";"";"";"UO_0000065";"20.28";"0.39";"4.5";"12.12";"False";"CHEMBL1768668";"Inhibition of purified recombinant c-Met after 60 mins by ELISA";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1765011";"1";"Scientific Literature";"J. Med. Chem.";"2011";""
"CHEMBL1766533";"";"0";"439.49";"0";"4.88";"21f";"CCN1CCN(CC1)c2cnc3cc(cc(NCc4cccc(c4)C#N)c3c2)C(F)(F)F";"IC50";"'='";"5.6";"nM";"8.25";"";"";"UO_0000065";"18.78";"0.35";"3.37";"14.95";"False";"CHEMBL1768668";"Inhibition of purified recombinant c-Met after 60 mins by ELISA";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1765011";"1";"Scientific Literature";"J. Med. Chem.";"2011";""
"CHEMBL508403";"";"0";"424.44";"1";"5.81";"47";"Fc1cc(NC(=O)c2cccc(n2)c3ccccc3)ccc1Oc4ccnc5[nH]ccc45";"IC50";"'='";"470";"nM";"6.33";"";"";"UO_0000065";"14.91";"0.27";"0.52";"7.92";"True";"CHEMBL1003887";"Inhibition of MET";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157356";"1";"Scientific Literature";"J. Med. Chem.";"2008";""
"CHEMBL453850";"";"0";"472.45";"1";"5.1";"17";"Fc1ccc(CN2C=CC=C(C(=O)Nc3ccc(Oc4ccnc5[nH]ccc45)c(F)c3)C2=O)cc1";"IC50";"'='";"8.2";"nM";"8.09";"";"";"UO_0000065";"17.12";"0.32";"2.99";"9.08";"True";"CHEMBL1003887";"Inhibition of MET";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157356";"1";"Scientific Literature";"J. Med. Chem.";"2008";""
"CHEMBL477197";"HEMATOXYLIN";"0";"302.28";"0";"1.32";"26";"Oc1cc2C[C@@]3(O)COc4c(O)c(O)ccc4[C@H]3c2cc1O";"IC50";"'='";"400";"nM";"6.4";"";"";"UO_0000065";"21.17";"0.4";"5.08";"5.8";"False";"CHEMBL986500";"Inhibition of c-Met by ELISA";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155833";"1";"Scientific Literature";"J. Med. Chem.";"2008";""
"CHEMBL518174";"";"0";"542.57";"2";"5.07";"4";"COc1ccc2c(Oc3ccc(NC(=O)C4=C(C)N(C[C@@H](C)O)N(C4=O)c5ccccc5)cc3F)ccnc2c1";"IC50";"'='";"24";"nM";"7.62";"";"";"UO_0000065";"14.04";"0.26";"2.55";"7.08";"True";"CHEMBL989218";"Inhibition of HGF-mediated c-Met phosphorylation in human PC3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"";"";"PC-3";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157538";"1";"Scientific Literature";"J. Med. Chem.";"2008";"CHEMBL3307570"
"CHEMBL402548";"DANUSERTIB";"2";"474.57";"0";"2.64";"9d";"CO[C@@H](C(=O)N1Cc2n[nH]c(NC(=O)c3ccc(cc3)N4CCN(C)CC4)c2C1)c5ccccc5";"IC50";"'>'";"10000";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL913520";"Inhibition of MET";"B";"BAO_0000357";"single protein format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137365";"1";"Scientific Literature";"J. Med. Chem.";"2006";""
"CHEMBL1766534";"";"0";"430.47";"0";"4.71";"21g";"CCN1CCN(CC1)c2cnc3cc(cc(NCc4cccc(O)c4)c3c2)C(F)(F)F";"IC50";"'='";"230";"nM";"6.64";"";"";"UO_0000065";"15.42";"0.29";"1.93";"12.86";"False";"CHEMBL1768668";"Inhibition of purified recombinant c-Met after 60 mins by ELISA";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1765011";"1";"Scientific Literature";"J. Med. Chem.";"2011";""
"CHEMBL1766536";"";"0";"418.44";"0";"4.76";"21i";"CN1CCN(CC1)c2cnc3cc(cc(NCc4cccc(F)c4)c3c2)C(F)(F)F";"IC50";"'='";"450";"nM";"6.35";"";"";"UO_0000065";"15.17";"0.29";"1.59";"20.21";"False";"CHEMBL1768668";"Inhibition of purified recombinant c-Met after 60 mins by ELISA";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1765011";"1";"Scientific Literature";"J. Med. Chem.";"2011";""
"CHEMBL1834657";"";"0";"658.48";"2";"5.35";"1h, NVP-BGJ398";"CCN1CCN(CC1)c2ccc(Nc3cc(ncn3)N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)cc2.OP(=O)(O)O";"IC50";"'='";"3011";"nM";"5.52";"";"";"UO_0000065";"9.85";"0.2";"0.17";"5.81";"False";"CHEMBL1839936";"Inhibition of MET-mediated proliferation of mouse BAF3 cells transformed with TEL-Kinase construct";"B";"BAO_0000219";"cell-based format";"";"";"";"BaF3";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833940";"1";"Scientific Literature";"J. Med. Chem.";"2011";"CHEMBL3307634"
"CHEMBL1760035";"";"0";"403.44";"0";"4.54";"3";"COc1cc(Nc2nccc(Nc3cnc4ccccc4c3)n2)cc(OC)c1OC";"IC50";"'='";"2110";"nM";"5.68";"";"";"UO_0000065";"14.07";"0.26";"1.14";"6.28";"False";"CHEMBL1764781";"Inhibition of cMet";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1759866";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";""
"CHEMBL398610";"";"0";"367.43";"0";"2.65";"8k";"CCOc1cccc2c1c(\C=C\3/C(=O)NN=C3c4snnc4C)cn2C";"IC50";"'='";"3700";"nM";"5.43";"";"";"UO_0000065";"14.78";"0.29";"2.78";"6.67";"False";"CHEMBL903335";"Inhibition of cMet";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139105";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";""
"CHEMBL493321";"";"0";"363.78";"0";"4.54";"1x";"Nc1ccc(cn1)c2[nH]c3ccc(nc3c2c4ccc(F)c(Cl)c4)C#N";"IC50";"'>'";"10000";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1030748";"Inhibition of GST-tagged human c-Met expressed in SF9 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"";"";"Sf9";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153352";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3308860"
"CHEMBL503016";"";"0";"679.78";"2";"6.83";"24";"CNC(=O)N1CCN(Cc2ccc(cc2)c3cc4nccc(Oc5ccc(NC(=O)N6CCN(C6=O)c7ccccc7)cc5F)c4s3)CC1";"IC50";"'='";"16";"nM";"7.8";"";"";"UO_0000065";"11.47";"0.22";"0.97";"7.06";"True";"CHEMBL960948";"Inhibition of GST-fused recombinant c-Met catalytic domain expressed in baculovirus-infected Trichoplusia ni Hi5 cells after 30 mins by DELFIA assay";"B";"BAO_0000219";"cell-based format";"";"";"";"Hi5";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153284";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3833782"
"CHEMBL493518";"";"0";"297.32";"0";"3.56";"1f";"N#Cc1ccc2[nH]c(c3ccncc3)c(c4ccncc4)c2n1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL1030748";"Inhibition of GST-tagged human c-Met expressed in SF9 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"";"";"Sf9";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153352";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3308860"
"CHEMBL523020";"";"0";"313.33";"0";"4.91";"1p";"Fc1ccc(cc1)c2c([nH]c3ccc(nc23)C#N)c4ccccc4";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL1030748";"Inhibition of GST-tagged human c-Met expressed in SF9 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"";"";"Sf9";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153352";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3308860"
"CHEMBL508395";"";"0";"693.85";"2";"7.05";"25";"CN(CCN1CCN(C)CC1)Cc2ccc(cc2)c3cc4nccc(Oc5ccc(NC(=O)N6CCN(C6=O)c7ccccc7)cc5F)c4s3";"IC50";"'='";"28";"nM";"7.55";"";"";"UO_0000065";"10.89";"0.21";"0.5";"8.94";"False";"CHEMBL960948";"Inhibition of GST-fused recombinant c-Met catalytic domain expressed in baculovirus-infected Trichoplusia ni Hi5 cells after 30 mins by DELFIA assay";"B";"BAO_0000219";"cell-based format";"";"";"";"Hi5";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153284";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3833782"
"CHEMBL515858";"";"0";"546.58";"1";"3.88";"3";"CN1CCN(Cc2c(N)nccc2Oc3ccc(NC(=O)C4=CC=CN(C4=O)c5ccc(F)cc5)cc3F)CC1";"IC50";"'='";"5.9";"nM";"8.23";"";"";"UO_0000065";"15.06";"0.28";"4.35";"7.78";"True";"CHEMBL959570";"Inhibition of MET";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140952";"1";"Scientific Literature";"J. Med. Chem.";"2009";""
"CHEMBL518656";"";"0";"488.45";"0";"3.48";"5";"Nc1nccc(Oc2ccc(NC(=O)C3=CC=CN(C3=O)c4ccc(F)cc4)cc2F)c1C#CCO";"IC50";"'='";"2.7";"nM";"8.57";"";"";"UO_0000065";"17.54";"0.33";"5.09";"7.17";"True";"CHEMBL959570";"Inhibition of MET";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140952";"1";"Scientific Literature";"J. Med. Chem.";"2009";""
"CHEMBL1169793";"";"0";"496.02";"0";"4.43";"29";"Cl.CCN(CC)C(=O)N1CCC(CC1)n2cc(cn2)c3cnc(N)c(c3)c4oc5ccccc5n4";"IC50";"'='";"357";"nM";"6.45";"";"";"UO_0000065";"14.03";"0.26";"2.02";"6.06";"False";"CHEMBL1175153";"Inhibition of recombinant c-MET by HTRF assay";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1177783";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";""
"CHEMBL1097869";"";"0";"451.41";"1";"5.26";"18";"Nc1cc(Oc2ccc(Nc3ccncc3C(=O)Nc4ccc(F)cc4F)cc2F)ccn1";"IC50";"'='";"3500";"nM";"5.46";"";"";"UO_0000065";"12.09";"0.23";"0.2";"5.34";"False";"CHEMBL1120752";"Inhibition of GST-tagged human recombinant c-met N terminal domain expressed in Hi5 insect cells after 60 mins by liquid scintillation counting";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"";"";"";"";"CHEMBL3717";"Hepatocyte growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1158562";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";""
