SMILES,Score,PriorLogP,CMET_score,EGFR_score,DELTA
Fc1sccc1Nc1ncnnc1N1CN(C(C)C)C1C,1174.84,-102.92,7.0999461327561315,6.817443271107979,-0.28250286164815286
Fc1cscc1Nc1nnncc1N1CN(C(C)C)C1,1429.06,-123.31,7.031222920412921,7.1136675164051635,0.08244459599224285
Fc1sccc1Nc1nnncc1N1CN(C(C)C)C1C,1472.04,-103.09,7.0349348429348435,7.065427686094434,0.030492843159590777
Fc1nscc1Nc1nnncc1N1CN(C(C)C)C1,1353.98,-108.95,7.159468281718283,7.073814291900909,-0.0856539898173736
Fc1nscc1Nc1nnncc1N1CN(C(C)C)CC1C,1418.27,-92.77,7.268489726939728,7.090545788182405,-0.1779439387573225
Cc1cscc1Nc1nnncc1N1CN(C(C)C)C1,1147.34,-113.31,6.819762484664818,7.023829354615972,0.20406686995115386
Fc1cscc1Nc1nnnnc1N1CN(C(C)C)CC1C,1203.36,-81.33,7.085892565329408,6.930000260882907,-0.1558923044465006
Fc1cnncc1Nc1nnncc1N1CN(C(C)C)C1,925.92,-109.34,6.884026744366745,7.024491099815217,0.14046435544847213
Fc1sccc1Nc1nnnnc1N1CN(C(C)C)CC1C,1200.8,-84.11,7.06360118992119,6.927915355281971,-0.13568583463921868
Fc1sccc1Nc1nnncc1N1CN(C(C)C)C1C,1472.04,-99.21,7.0349348429348435,7.065427686094434,0.030492843159590777
Cc1nscc1Nc1nnncc1N1CN(C(C)C)C1C,1249.39,-90.49,7.086804651100534,6.9343107165873334,-0.1524939345132008
Fc1cscc1Nc1nnncc1N1CN(C(C)C)CC1C,1487.22,-88.04,7.258233295710139,7.065452346019993,-0.19278094969014603
Cc1ccncc1Nc1nnncc1N1CN(C(C)C)CC1C,1120.07,-47.41,7.128809101713561,6.8334431419968915,-0.2953659597166691
Cc1sccc1Nc1nnncc1N1CN(C(C)C)C1,1161.52,-114.96,6.8316590747814265,7.067384584108701,0.2357255093272741
Fc1ccsc1Nc1nnncc1N1CN(C(C)C)C1,1342.1,-102.36,6.970459144305988,7.196246895963513,0.22578775165752507
Fc1ccsc1Nc1nnccc1N1CN(C(C)C)C1C,1100.84,-111.71,7.208330604414506,6.740479700746452,-0.4678509036680545
Fc1ccsc1Nc1nnnnc1N1CN(C(C)C)C1C,1208.85,-101.75,7.05023967351534,6.914649949970907,-0.13558972354443277
Fc1ccsc1Nc1nnncc1N1CN(C(C)C)C1,1342.1,-102.36,6.970459144305988,7.196246895963513,0.22578775165752507
Cc1sccc1Nc1nnnnc1N1CN(C(C)C)C1C,1048.12,-93.65,6.763483582652074,6.809130828974944,0.045647246322870316
Fc1cscc1Nc1nnnnc1N1CN(C(C)C)C1,1135.71,-96.41,6.901362190032191,7.005631868997015,0.10426967896482431
Fc1sccc1Nc1ncnnc1N1CN(C(C)C)CC1C,1116.66,-83.91,7.100794654822302,6.788274670068494,-0.3125199847538074
Cc1sccc1Nc1nncnc1N1CN(C(C)C)CC1C,1039.61,-71.24,6.974144021624865,6.709775551605259,-0.2643684700196065
Fc1cscc1Nc1nnncc1N1CN(C(C)C)CC1C,1487.22,-85.29,7.258233295710139,7.065452346019993,-0.19278094969014603
Cc1sccc1Nc1nncnc1N1CN(C(C)C)CC1C,1039.61,-65.64,6.974144021624865,6.709775551605259,-0.2643684700196065
Fc1sccc1Nc1nnnnc1N1CN(C(C)C)C1C,1162.13,-100.81,6.968352496392495,6.876249115965732,-0.09210338042676369
Fc1cscc1Nc1nnnnc1N1CN(C(C)C)CC1C,1203.36,-81.39,7.085892565329408,6.930000260882907,-0.1558923044465006
Fc1cscc1Nc1nnnnc1N1CN(C(C)C)C1C,1193.66,-108.72,7.026478268398268,6.902334021566666,-0.12414424683160163
Cc1sccc1Nc1nnncc1N1CN(C(C)C)C1C,1161.34,-87.73,6.80473262789498,7.024682411924159,0.21994978402917909
Fc1nscc1Nc1nnnnc1N1CN(C(C)C)CC1,1105.46,-105.76,7.018732897102897,7.061818379757498,0.043085482654601215
Fc1sccc1Nc1nnncc1N1CN(C(C)C)C1C,1472.04,-103.09,7.0349348429348435,7.065427686094434,0.030492843159590777
Fc1sccc1Nc1nnncc1N1CN(C(C)C)CC1C,1558.93,-86.44,7.240459092019092,7.110999925989043,-0.12945916603004903
Fc1sccc1Nc1nnncc1N1CN(C(C)C)CC1C,1558.93,-86.44,7.240459092019092,7.110999925989043,-0.12945916603004903
Fc1sccc1Nc1nnnnc1N1CN(C(C)C)C1C,1162.13,-96.5,6.968352496392495,6.876249115965732,-0.09210338042676369
Fc1ccsc1Nc1nnnnc1N1CN(C(C)C)CC1C,1284.35,-88.48,7.0810374290930955,6.993635932876892,-0.08740149621620397
Fc1cscc1Nc1nnncc1N1CN(CC)CC1C,848.79,-113.35,6.973558541575383,6.51479846360339,-0.45876007797199314
Fc1cnccc1Nc1nnncc1N1CN(C(C)C)CC1C,969.77,-65.75,7.240643537982486,6.710473852952602,-0.5301696850298834
Fc1sccc1Nc1ncnnc1N1CN(C(C)C)CC1C,1116.66,-85.48,7.100794654822302,6.788274670068494,-0.3125199847538074
c1cnccc1Nc1nnnnc1N1CN(C(C)C)CC1C,827.16,-84.63,6.803294267979819,6.69185819339415,-0.11143607458566862
Fc1cscc1Nc1nnncc1N1CN(C(C)C)CC1C,1487.22,-86.62,7.258233295710139,7.065452346019993,-0.19278094969014603
Fc1cscc1Nc1nnnnc1N1CN(C(C)C)CC1C,1203.36,-84.09,7.085892565329408,6.930000260882907,-0.1558923044465006
Cc1sccc1Nc1nnncc1N1CN(C(C)C)CC1C,1489.14,-76.21,7.107934048696402,7.056879651818767,-0.05105439687763447
Fc1cscc1Nc1nnnnc1N1CN(C(C)C)CC1C,1203.36,-81.39,7.085892565329408,6.930000260882907,-0.1558923044465006
Fc1ccccc1Nc1nnncc1N1CN(C(C)C)CC1,1179.47,-77.15,6.836542175602176,6.969719099326455,0.13317692372427903
Fc1ccsc1Nc1nnncc1N1CN(C(C)C)CC1C,1657.62,-89.07,7.257895331190998,7.170375382476999,-0.08751994871399837
Cc1sccc1Nc1nnncc1N1CN(C(C)C)C1,1161.52,-91.29,6.8316590747814265,7.067384584108701,0.2357255093272741
Fc1ccsc1Nc1nnncc1N1CN(C(C)C)CC1C,1657.62,-89.07,7.257895331190998,7.170375382476999,-0.08751994871399837
Fc1ccsc1Nc1nnnnc1N1CN(C(C)C)C1C,1208.85,-101.75,7.05023967351534,6.914649949970907,-0.13558972354443277
Fc1cscc1Nc1nnncc1N1CN(C(C)C)C1,1429.06,-105.65,7.031222920412921,7.1136675164051635,0.08244459599224285
Fc1cscc1Nc1nnncc1N1CN(C(C)C)C1,1429.06,-104.0,7.031222920412921,7.1136675164051635,0.08244459599224285
Fc1cnccc1Nc1nnncc1N1CN(CC)CC1C,648.19,-103.2,7.064563741830924,6.345400581069258,-0.7191631607616662
Fc1cnccc1Nc1nnncc1N1CN(C(C)C)C1C,904.25,-90.65,7.086577214907555,6.636309213147962,-0.4502680017595928
Fc1ccsc1Nc1nnnnc1N1CN(C(C)C)CC1C,1284.35,-85.99,7.0810374290930955,6.993635932876892,-0.08740149621620397
Fc1ccsc1Nc1nnncc1N1CN(C(C)C)CC1C,1657.62,-86.69,7.257895331190998,7.170375382476999,-0.08751994871399837
Fc1cscc1Nc1nnncc1N1CN(C(C)C)C1C,1421.9,-100.26,7.104166972635207,7.001513731856379,-0.10265324077882809
Cc1nscc1Nc1nnncc1N1CN(C(C)C)CC1C,1305.33,-77.42,7.281583214759097,6.988832755659372,-0.2927504590997252
Cc1nscc1Nc1nnncc1N1CN(C(C)C)C1C,1249.39,-86.91,7.086804651100534,6.9343107165873334,-0.1524939345132008
Fc1cscc1Nc1nnnnc1N1CN(C(C)C)C1,1135.71,-94.52,6.901362190032191,7.005631868997015,0.10426967896482431
Fc1ccsc1Nc1nnnnc1N1CN(C(C)C)C1C,1208.85,-97.7,7.05023967351534,6.914649949970907,-0.13558972354443277
Fc1ccccc1Nc1nncnc1N1CN(C(C)C)CC1C,977.55,-54.36,7.055761899328742,6.648252673783046,-0.407509225545696
Fc1cscc1Nc1nnccc1N1CN(C(C)C)CC1C,1150.93,-82.12,7.316019376296218,6.804038040244072,-0.5119813360521457
Fc1sccc1Nc1nnncc1N1CN(C(C)C)C1C,1472.04,-110.71,7.0349348429348435,7.065427686094434,0.030492843159590777
Fc1ccsc1Nc1nnncc1N1CN(C(C)C)CC1C,1657.62,-87.86,7.257895331190998,7.170375382476999,-0.08751994871399837
Fc1cscc1Nc1nnnnc1N1CN(C(C)C)CC1C,1203.36,-81.39,7.085892565329408,6.930000260882907,-0.1558923044465006
Fc1sccc1Nc1nnncc1N1CN(C(C)C)C1,1201.7,-101.2,6.863507451437453,7.14437549319961,0.2808680417621572
Fc1ccsc1Nc1nncnc1N1CN(C(C)C)CC1C,1073.97,-84.65,7.098106663453504,6.750572024416074,-0.34753463903743054
Fc1ccsc1Nc1nnncc1N1CN(C(C)C)C1,1342.1,-105.42,6.970459144305988,7.196246895963513,0.22578775165752507
Cc1sccc1Nc1nnnnc1N1CN(C(C)C)CC1C,1151.59,-72.95,6.911588532865259,6.866760145214261,-0.04482838765099739
Cc1nscc1Nc1nnncc1N1CN(C(C)C)CC1C,1305.33,-77.42,7.281583214759097,6.988832755659372,-0.2927504590997252
Fc1cnccc1Nc1nnncc1N1CN(C(C)C)CC1C,969.77,-65.75,7.240643537982486,6.710473852952602,-0.5301696850298834
Fc1sccc1Nc1nnncc1N1CN(C(C)C)CC1,1182.12,-104.04,6.834797451437452,7.141321891246009,0.30652443980855715
Fc1ccccc1Nc1nnncc1N1CN(C(C)C)CC1C,1339.01,-61.38,7.1476044556613,6.952066757779114,-0.19553769788218567
Cc1ccncc1Nc1ncnnc1N1CN(C(C)C)C1C,881.68,-63.26,7.081727450514517,6.602402496302713,-0.4793249542118039
Fc1ccsc1Nc1nnnnc1N1CN(C(C)C)C1C,1208.85,-97.7,7.05023967351534,6.914649949970907,-0.13558972354443277
Fc1ccncc1Nc1nnncc1N1CN(C(C)C)CC1,1105.56,-86.77,6.944102210304317,6.868707006743258,-0.075395203561059
Fc1ccsc1Nc1nnncc1N1CN(C(C)C)C1C,1591.94,-110.42,7.132445549469452,7.110452629761877,-0.021992919707574998
Fc1ccsc1Nc1nnnnc1N1CN(C(C)C)CC1C,1284.35,-85.99,7.0810374290930955,6.993635932876892,-0.08740149621620397
Cc1sccc1Nc1nnnnc1N1CN(C(C)C)C1C,1048.12,-85.58,6.763483582652074,6.809130828974944,0.045647246322870316
c1cnccc1Nc1nnnnc1N1CN(C(C)C)CC1C,827.16,-84.63,6.803294267979819,6.69185819339415,-0.11143607458566862
Fc1nscc1Nc1nnncc1N1CN(C(C)C)C1C,1341.98,-104.24,7.146775001665002,7.016440507352124,-0.13033449431287814
Fc1cscc1Nc1nnncc1N1CN(C(C)C)C1C,1421.9,-110.78,7.104166972635207,7.001513731856379,-0.10265324077882809
Cc1sccc1Nc1nnnnc1N1CN(C(C)C)C1C,1048.12,-88.99,6.763483582652074,6.809130828974944,0.045647246322870316
Cc1sccc1Nc1nnncc1N1CN(C(C)C)C1C,1161.34,-94.44,6.80473262789498,7.024682411924159,0.21994978402917909
c1ccncc1Nc1nnncc1N1CN(C(C)C)CC1C,1137.92,-89.1,7.032394360637642,6.8720604571327355,-0.16033390350490606
Fc1cscc1Nc1nnncc1N1CN(C(C)C)C1C,1421.9,-111.43,7.104166972635207,7.001513731856379,-0.10265324077882809
Fc1sccc1Nc1nnncc1N1CN(C(C)C)C1C,1472.04,-103.09,7.0349348429348435,7.065427686094434,0.030492843159590777
Fc1cscc1Nc1nncnc1N1CN(C(C)C)CC1C,1074.08,-79.77,7.130177485964328,6.75067049383623,-0.379506992128098
Fc1ccsc1Nc1nnncc1N1CN(C(C)C)C1,1342.1,-102.36,6.970459144305988,7.196246895963513,0.22578775165752507
Cc1sccc1Nc1nnncc1N1CN(C(C)C)C1C,1161.34,-90.24,6.80473262789498,7.024682411924159,0.21994978402917909
Fc1cnccc1Nc1nnncc1N1CN(C(C)C)C1,939.72,-97.46,6.981628876970982,6.736557997696748,-0.245070879274234
Fc1ccsc1Nc1nnnnc1N1CN(C(C)C)C1C,1208.85,-101.75,7.05023967351534,6.914649949970907,-0.13558972354443277
Cc1sccc1Nc1nnncc1N1CN(C(C)C)C1,1161.52,-91.29,6.8316590747814265,7.067384584108701,0.2357255093272741
Cc1cscc1Nc1nnncc1N1CN(C(C)C)C1C,1092.23,-90.45,6.745569371111705,6.964450319761937,0.21888094865023255
Fc1sccc1Nc1nnnnc1N1CN(C(C)C)C1C,1162.13,-107.48,6.968352496392495,6.876249115965732,-0.09210338042676369
Fc1cscc1Nc1nnncc1N1CN(C(C)C)CC1C,1487.22,-88.04,7.258233295710139,7.065452346019993,-0.19278094969014603
Fc1ccsc1Nc1nnccc1N1CN(C(C)C)CC1,1152.86,-102.52,6.983086580203422,6.774325984652604,-0.20876059555081827
Fc1sccc1Nc1nnncc1N1CN(C(C)C)C1C,1472.04,-99.21,7.0349348429348435,7.065427686094434,0.030492843159590777
Fc1sccc1Nc1nncnc1N1CN(C(C)C)C1C,1039.68,-93.06,7.069382496392495,6.699567194684402,-0.3698153017080932
Fc1sccc1Nc1nnncc1N1CN(C(C)C)C1C,1472.04,-110.71,7.0349348429348435,7.065427686094434,0.030492843159590777
Fc1nscc1Nc1nncnc1N1CN(C(C)C)C1,989.58,-102.34,7.148928019758018,6.766251913854121,-0.3826761059038972
Cc1nscc1Nc1nnncc1N1CN(C(C)C)C1,1240.55,-112.02,7.0708068122726955,6.976598402235019,-0.09420841003767677
Cc1ccsc1Nc1nnncc1N1CN(C(C)C)CC1C,1536.39,-74.53,7.08705183287301,7.177451719979365,0.09039988710635427
Fc1cnccc1Nc1nnncc1N1CN(C(C)C)CC1,979.21,-83.22,6.958368876970982,6.749755378649128,-0.2086134983218546
Cc1nscc1Nc1nncnc1N1CN(C(C)C)CC1C,991.95,-66.45,7.238126824051197,6.72139233371204,-0.5167344903391573
Cc1sccc1Nc1nnnnc1N1CN(C(C)C)C1C,1048.12,-93.65,6.763483582652074,6.809130828974944,0.045647246322870316
Cc1sccc1Nc1nnncc1N1CN(C(C)C)CC1C,1489.14,-76.21,7.107934048696402,7.056879651818767,-0.05105439687763447
Fc1cscc1Nc1nnnnc1N1CN(C(C)C)CC1C,1203.36,-81.33,7.085892565329408,6.930000260882907,-0.1558923044465006
Fc1sccc1Nc1nnncc1N1CN(C(C)C)C1C,1472.04,-110.71,7.0349348429348435,7.065427686094434,0.030492843159590777
Fc1nscc1Nc1nnncc1N1CN(C(C)C)C1,1353.98,-108.37,7.159468281718283,7.073814291900909,-0.0856539898173736
Fc1cscc1Nc1nnnnc1N1CN(C(C)C)C1C,1193.66,-104.68,7.026478268398268,6.902334021566666,-0.12414424683160163
Fc1sccc1Nc1nnncc1N1CN(C(C)C)CC1C,1558.93,-86.44,7.240459092019092,7.110999925989043,-0.12945916603004903
Fc1ccsc1Nc1nnncc1N1CN(C(C)C)C1C,1591.94,-100.4,7.132445549469452,7.110452629761877,-0.021992919707574998
Fc1sccc1Nc1nnncc1N1CN(C(C)C)CC1C,1558.93,-86.44,7.240459092019092,7.110999925989043,-0.12945916603004903
Cc1ccsc1Nc1nncnc1N1CN(C(C)C)C1C,1047.46,-83.18,6.968444026456634,6.705217232769811,-0.26322679368682333
Fc1cscc1Nc1ncnnc1N1CN(C(C)C)C1C,1195.66,-108.99,7.113946825396826,6.834383570481806,-0.2795632549150202
Fc1ccsc1Nc1nnnnc1N1CN(C(C)C)C1C,1208.85,-97.7,7.05023967351534,6.914649949970907,-0.13558972354443277
Clc1cscc1Nc1nnnnc1N1CN(C(C)C)C1C,1099.37,-106.64,6.867323317321788,6.825984931539047,-0.041338385782741405
Fc1sccc1Nc1nnncc1N1CN(C(C)C)C1,1201.7,-104.88,6.863507451437453,7.14437549319961,0.2808680417621572
Cc1ccccc1Nc1nnncc1N1CN(C(C)C)CC1C,1316.78,-44.67,6.9289073209796745,7.037829982887339,0.10892266190766442
Fc1cscc1Nc1nnnnc1N1CN(C(C)C)C1,1135.71,-115.88,6.901362190032191,7.005631868997015,0.10426967896482431
Fc1cscc1Nc1nnnnc1N1CN(C(C)C)CC1,1181.84,-103.12,6.926674412254411,7.034818086945735,0.10814367469132335
Cc1sccc1Nc1nnncc1N1CN(C(C)C)CC1C,1489.14,-76.21,7.107934048696402,7.056879651818767,-0.05105439687763447
Fc1ccncc1Nc1ncnnc1N1CN(C(C)C)CC1C,865.18,-66.53,7.032945731344678,6.599122465165553,-0.43382326617912526
Cc1nscc1Nc1nnnnc1N1CN(C(C)C)C1C,973.02,-94.83,7.0771859088879285,6.7994095266661425,-0.277776382221786
Fc1sccc1Nc1nncnc1N1CN(C(C)C)CC1C,1066.27,-81.88,7.073844090354089,6.74360994193715,-0.3302341484169391
Fc1sccc1Nc1nnccc1N1CN(C(C)C)CC1C,1108.57,-83.92,7.298245172605174,6.767836829363449,-0.5304083432417253
Fc1ccsc1Nc1nnncc1N1CN(C(C)C)CC1C,1657.62,-86.69,7.257895331190998,7.170375382476999,-0.08751994871399837
Cc1sccc1Nc1nnnnc1N1CN(C(C)C)C1,835.42,-111.48,6.58937350779939,6.8839849218265385,0.2946114140271483
Fc1cnncc1Nc1nnnnc1N1CN(C(C)C)CC1C,926.99,-75.15,7.072358836835679,6.986129809161424,-0.08622902767425522
Fc1sccc1Nc1nnncc1N1CN(C(C)C)C1,1201.7,-103.1,6.863507451437453,7.14437549319961,0.2808680417621572
Fc1cscc1Nc1nnncc1N1CN(C(C)C)C1C,1421.9,-104.02,7.104166972635207,7.001513731856379,-0.10265324077882809
Fc1sccc1Nc1nnnnc1N1CN(C(C)C)C1C,1162.13,-111.24,6.968352496392495,6.876249115965732,-0.09210338042676369
Fc1cscc1Nc1nnncc1N1CN(C(C)C)C1,1429.06,-104.0,7.031222920412921,7.1136675164051635,0.08244459599224285
Fc1sccc1Nc1nnnnc1N1CN(C(C)C)CC1C,1200.8,-86.75,7.06360118992119,6.927915355281971,-0.13568583463921868
Fc1ccsc1Nc1nnncc1N1CN(C(C)C)CC1C,1657.62,-86.69,7.257895331190998,7.170375382476999,-0.08751994871399837
Fc1cscc1Nc1nnnnc1N1CN(C(C)C)C1C,1193.66,-97.66,7.026478268398268,6.902334021566666,-0.12414424683160163
Cc1cscc1Nc1nnncc1N1CN(C(C)C)C1C,1092.23,-92.51,6.745569371111705,6.964450319761937,0.21888094865023255
Fc1ccsc1Nc1nnncc1N1CN(C(C)C)CC1C,1657.62,-87.86,7.257895331190998,7.170375382476999,-0.08751994871399837
Fc1cscc1Nc1nnncc1N1CN(C(C)C)CC1,1406.24,-104.69,7.00251292041292,7.110613914451561,0.10810099403864104
Fc1cnccc1Nc1nnnnc1N1CN(C(C)C)C1,802.23,-94.27,6.917285419317526,6.7395198507864675,-0.17776556853105863
Cc1ccncc1Nc1nnncc1N1CN(C(C)C)CC1C,1120.07,-47.41,7.128809101713561,6.8334431419968915,-0.2953659597166691
Fc1ccccc1Nc1nnncc1N1CN(C(C)C)CC1C,1339.01,-61.38,7.1476044556613,6.952066757779114,-0.19553769788218567
Fc1cscc1Nc1nnncc1N1CN(C(C)C)CC1C,1487.22,-86.62,7.258233295710139,7.065452346019993,-0.19278094969014603
Cc1sccc1Nc1nnnnc1N1CN(C(C)C)CC1C,1151.59,-72.95,6.911588532865259,6.866760145214261,-0.04482838765099739
Fc1ccsc1Nc1nnnnc1N1CN(C(C)C)CC1C,1284.35,-85.99,7.0810374290930955,6.993635932876892,-0.08740149621620397
Fc1ccsc1Nc1nnnnc1N1CN(C(C)C)CC1C,1284.35,-88.48,7.0810374290930955,6.993635932876892,-0.08740149621620397
Cc1sccc1Nc1nnncc1N1CN(C(C)C)CC1C,1489.14,-76.21,7.107934048696402,7.056879651818767,-0.05105439687763447
Fc1sccc1Nc1nnncc1N1CN(C(C)C)CC1C,1558.93,-84.19,7.240459092019092,7.110999925989043,-0.12945916603004903
Fc1nscc1Nc1nnnnc1N1CN(C(C)C)CC1C,1139.5,-87.46,7.126712632922632,7.000623807662926,-0.1260888252597061
Fc1ncncc1Nc1nnnnc1N1CN(C(C)C)CC1C,568.83,-71.94,6.885706941946942,6.982594941496412,0.09688799954947047
Cc1nscc1Nc1nnnnc1N1CN(C(C)C)CC1C,1020.28,-79.11,7.116868001958259,6.857038842905459,-0.25982915905279924
Fc1cscc1Nc1nnnnc1N1CN(C(C)C)CC1C,1203.36,-84.09,7.085892565329408,6.930000260882907,-0.1558923044465006
Fc1cscc1Nc1nnncc1N1CN(C(C)C)CC1C,1487.22,-86.62,7.258233295710139,7.065452346019993,-0.19278094969014603
Fc1cscc1Nc1nnncc1N1CN(C(C)C)C1C,1421.9,-99.6,7.104166972635207,7.001513731856379,-0.10265324077882809
Fc1cscc1Nc1nnnnc1N1CN(C(C)C)CC1C,1203.36,-81.39,7.085892565329408,6.930000260882907,-0.1558923044465006
Fc1cscc1Nc1nnncc1N1CN(C(C)C)C1,1429.06,-102.14,7.031222920412921,7.1136675164051635,0.08244459599224285
Fc1cscc1Nc1nnnnc1N1CN(C(C)C)C1C,1193.66,-93.49,7.026478268398268,6.902334021566666,-0.12414424683160163
Cc1ccncc1Nc1nnnnc1N1CN(C(C)C)CC1C,942.67,-46.55,6.941190282714997,6.776050215699332,-0.16514006701566508
Fc1cscc1Nc1nnnnc1N1CN(C(C)C)C1C,1193.66,-104.68,7.026478268398268,6.902334021566666,-0.12414424683160163
Cc1sccc1Nc1ncnnc1N1CN(C(C)C)C1C,1108.11,-87.0,6.976745564918174,6.7594938424810485,-0.21725172243712532
Fc1sccc1Nc1nnncc1N1CN(C(C)C)CC1C,1558.93,-86.44,7.240459092019092,7.110999925989043,-0.12945916603004903
Fc1cscc1Nc1nnnnc1N1CN(C(C)C)C1,1135.71,-98.33,6.901362190032191,7.005631868997015,0.10426967896482431
Fc1sccc1Nc1nnncc1N1CN(C(C)C)CC1C,1558.93,-84.19,7.240459092019092,7.110999925989043,-0.12945916603004903
Fc1sccc1Nc1nnncc1N1CN(C(C)C)CC1C,1558.93,-84.19,7.240459092019092,7.110999925989043,-0.12945916603004903
Cc1sccc1Nc1nnnnc1N1CN(C(C)C)CC1C,1151.59,-72.95,6.911588532865259,6.866760145214261,-0.04482838765099739
Fc1cscc1Nc1nnncc1N1CN(C(C)C)C1,1429.06,-104.0,7.031222920412921,7.1136675164051635,0.08244459599224285
Fc1sccc1Nc1nnnnc1N1CN(C(C)C)CC1,991.19,-88.57,6.754441771561773,7.006110244836862,0.2516684732750898
Fc1ccsc1Nc1nnnnc1N1CN(C(C)C)C1C,1208.85,-95.69,7.05023967351534,6.914649949970907,-0.13558972354443277
Cc1cscc1Nc1nnncc1N1CN(C(C)C)C1C,1092.23,-96.98,6.745569371111705,6.964450319761937,0.21888094865023255
Fc1nscc1Nc1nncnc1N1CN(C(C)C)CC1C,1048.35,-86.65,7.290512200022199,6.795267203841911,-0.49524499618028806
Fc1cscc1Nc1nnnnc1N1CN(C(C)C)CC1C,1203.36,-81.39,7.085892565329408,6.930000260882907,-0.1558923044465006
Fc1ccsc1Nc1nncnc1N1CN(C(C)C)CC1C,1073.97,-82.68,7.098106663453504,6.750572024416074,-0.34753463903743054
Fc1cscc1Nc1nnncc1N1CN(C(C)C)C1C,1421.9,-100.26,7.104166972635207,7.001513731856379,-0.10265324077882809
Fc1cnccc1Nc1nnncc1N1CN(C(C)C)CC1C,969.77,-65.75,7.240643537982486,6.710473852952602,-0.5301696850298834
Fc1cscc1Nc1nnncc1N1CN(C(C)C)C1C,1421.9,-100.26,7.104166972635207,7.001513731856379,-0.10265324077882809
Fc1cscc1Nc1nnncc1N1CN(C(C)C)C1,1429.06,-100.96,7.031222920412921,7.1136675164051635,0.08244459599224285
Fc1sccc1Nc1nnncc1N1CN(C(C)C)C1C,1472.04,-99.21,7.0349348429348435,7.065427686094434,0.030492843159590777
CCc1sccc1Nc1nnncc1N1CN(C(C)C)C1C,953.54,-84.79,6.7646347257970785,7.090368390618669,0.3257336648215903
Fc1cscc1Nc1nnncc1N1CN(C(C)C)CC1C,1487.22,-88.04,7.258233295710139,7.065452346019993,-0.19278094969014603
Fc1cscc1Nc1ncnnc1N1CN(C(C)C)C1C,1195.66,-101.6,7.113946825396826,6.834383570481806,-0.2795632549150202
Cc1sccc1Nc1nnncc1N1CN(C(C)C)CC1C,1489.14,-73.22,7.107934048696402,7.056879651818767,-0.05105439687763447
Fc1cscc1Nc1nnncc1N1CN(C(C)C)CC1C,1487.22,-85.29,7.258233295710139,7.065452346019993,-0.19278094969014603
Fc1cscc1Nc1nnnnc1N1CN(C(C)C)C1C,1193.66,-104.83,7.026478268398268,6.902334021566666,-0.12414424683160163
Fc1cnncc1Nc1nnnnc1N1CN(C(C)C)CC1C,926.99,-75.15,7.072358836835679,6.986129809161424,-0.08622902767425522
Fc1cncnc1Nc1nnncc1N1CN(C(C)C)C1C,901.91,-96.19,6.97810157580981,6.758775906528114,-0.21932566928169628
Fc1cscc1Nc1nncnc1N1CN(C(C)C)CC1C,1074.08,-79.77,7.130177485964328,6.75067049383623,-0.379506992128098
Fc1ccsc1Nc1nnncc1N1CN(C(C)C)CC1C,1657.62,-86.69,7.257895331190998,7.170375382476999,-0.08751994871399837
Fc1cscc1Nc1nnncc1N1CN(C(C)C)CC1,1406.24,-90.67,7.00251292041292,7.110613914451561,0.10810099403864104
Fc1cnccc1Nc1nnnnc1N1CN(C(C)C)C1C,783.08,-89.18,7.020267321859427,6.618445748777365,-0.4018215730820618
Cc1sccc1Nc1nnncc1N1CN(C(C)C)CC1C,1489.14,-76.21,7.107934048696402,7.056879651818767,-0.05105439687763447
